,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
10,10,2003-11-15,,PHI,W,91,88,OT,38,87,.437,1,8,.125,37,79,.468,.443,14,20,.700,14,43,57,24,4,17,20,24,33,98,.337,2,11,.182,31,87,.356,.347,20,27,.741,16,34,50,16,10,3,11,17
11,11,2003-11-18,,LAC,W,103,95,,39,81,.481,3,10,.300,36,71,.507,.500,22,35,.629,12,36,48,18,8,10,15,24,30,94,.319,8,15,.533,22,79,.278,.362,27,32,.844,24,29,53,19,7,5,15,26
12,12,2003-11-19,@,WAS,L,95,106,,36,77,.468,2,8,.250,34,69,.493,.481,21,27,.778,11,32,43,22,7,8,17,23,37,95,.389,8,19,.421,29,76,.382,.432,24,31,.774,23,23,46,18,9,5,12,17
13,13,2003-11-21,,MIN,L,83,97,,33,80,.413,2,8,.250,31,72,.431,.425,15,19,.789,15,31,46,17,4,5,14,21,38,90,.422,6,13,.462,32,77,.416,.456,15,16,.938,15,26,41,19,7,6,8,19
14,14,2003-11-22,@,ATL,L,83,92,,29,88,.330,4,7,.571,25,81,.309,.352,21,25,.840,18,36,54,21,6,7,14,13,38,85,.447,2,10,.200,36,75,.480,.459,14,15,.933,10,35,45,25,7,8,11,17
15,15,2003-11-26,@,NOH,L,72,82,,28,83,.337,4,17,.235,24,66,.364,.361,12,22,.545,10,40,50,21,8,9,17,23,31,80,.388,6,22,.273,25,58,.431,.425,14,21,.667,7,40,47,21,7,1,16,21
16,16,2003-11-28,@,DET,L,88,92,,36,79,.456,1,7,.143,35,72,.486,.462,15,20,.750,9,36,45,22,7,7,18,29,32,78,.410,3,6,.500,29,72,.403,.429,25,34,.735,12,32,44,21,5,6,13,20
17,17,2003-11-29,,MEM,L,115,122,2OT,47,109,.431,7,16,.438,40,93,.430,.463,14,16,.875,22,40,62,28,4,6,18,25,45,97,.464,8,22,.364,37,75,.493,.505,24,37,.649,16,35,51,30,12,9,13,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
18,18,2003-12-02,@,DEN,L,103,115,,42,96,.438,4,10,.400,38,86,.442,.458,15,24,.625,24,27,51,24,14,6,25,33,41,77,.532,6,9,.667,35,68,.515,.571,27,39,.692,11,26,37,27,12,15,20,20
19,19,2003-12-03,@,LAC,L,80,90,,31,80,.388,4,12,.333,27,68,.397,.413,14,23,.609,15,40,55,22,7,4,15,22,32,80,.400,4,12,.333,28,68,.412,.425,22,28,.786,7,32,39,23,6,4,12,17
20,20,2003-12-06,,ATL,W,95,85,,35,75,.467,2,8,.250,33,67,.493,.480,23,29,.793,13,29,42,22,8,7,11,21,34,73,.466,1,5,.200,33,68,.485,.473,16,21,.762,10,26,36,17,4,5,14,25
21,21,2003-12-09,,TOR,L,93,100,,36,81,.444,2,4,.500,34,77,.442,.457,19,25,.760,13,30,43,23,8,3,15,24,40,82,.488,4,10,.400,36,72,.500,.512,16,20,.800,6,32,38,21,4,3,12,17
22,22,2003-12-11,,DET,W,95,86,,35,66,.530,2,5,.400,33,61,.541,.545,23,30,.767,10,35,45,25,6,9,24,30,28,78,.359,3,8,.375,25,70,.357,.378,27,32,.844,10,18,28,19,12,2,14,25
23,23,2003-12-13,,BOS,L,98,105,,36,81,.444,2,9,.222,34,72,.472,.457,24,30,.800,22,28,50,23,6,6,22,28,36,76,.474,3,12,.250,33,64,.516,.493,30,37,.811,10,22,32,22,9,3,10,25
24,24,2003-12-15,@,IND,L,85,95,,35,69,.507,0,8,.000,35,61,.574,.507,15,21,.714,3,30,33,22,11,8,21,22,37,81,.457,5,14,.357,32,67,.478,.488,16,19,.842,11,28,39,30,10,4,15,20
25,25,2003-12-17,,HOU,L,85,89,,31,88,.352,7,14,.500,24,74,.324,.392,16,23,.696,12,32,44,21,5,1,8,13,37,81,.457,6,22,.273,31,59,.525,.494,9,10,.900,6,39,45,23,5,11,10,19
26,26,2003-12-19,@,PHI,W,88,81,,35,73,.479,5,9,.556,30,64,.469,.514,13,22,.591,12,27,39,23,14,2,17,16,33,64,.516,5,10,.500,28,54,.519,.555,10,14,.714,5,26,31,18,13,3,22,21
27,27,2003-12-20,@,CHI,W,95,87,,33,73,.452,3,9,.333,30,64,.469,.473,26,35,.743,9,42,51,26,6,6,16,18,33,91,.363,2,20,.100,31,71,.437,.374,19,23,.826,15,34,49,25,11,4,10,22
28,28,2003-12-23,,NOH,W,97,86,,30,83,.361,4,19,.211,26,64,.406,.386,33,38,.868,18,33,51,19,8,8,15,15,34,84,.405,4,19,.211,30,65,.462,.429,14,16,.875,13,27,40,24,10,5,15,27
29,29,2003-12-25,@,ORL,L,101,113,OT,39,79,.494,7,17,.412,32,62,.516,.538,16,18,.889,11,28,39,22,3,7,21,20,47,99,.475,7,12,.583,40,87,.460,.510,12,19,.632,19,18,37,21,12,4,8,15
30,30,2003-12-26,,CHI,L,80,87,,35,84,.417,2,10,.200,33,74,.446,.429,8,10,.800,15,32,47,24,8,9,13,16,35,86,.407,7,15,.467,28,71,.394,.448,10,12,.833,12,32,44,24,4,6,11,14
31,31,2003-12-28,,POR,W,86,74,,39,78,.500,0,5,.000,39,73,.534,.500,8,10,.800,11,36,47,22,8,5,15,14,28,81,.346,6,18,.333,22,63,.349,.383,12,17,.706,12,28,40,19,8,5,12,14
32,32,2003-12-30,,IND,L,89,92,,37,71,.521,3,10,.300,34,61,.557,.542,12,22,.545,11,34,45,25,2,7,18,22,33,85,.388,6,23,.261,27,62,.435,.424,20,22,.909,11,22,33,26,10,3,7,20
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
33,33,2004-01-02,@,NJN,L,82,97,,34,82,.415,3,13,.231,31,69,.449,.433,11,14,.786,8,31,39,26,8,4,16,18,38,79,.481,7,16,.438,31,63,.492,.525,14,20,.700,8,33,41,31,10,5,15,15
34,34,2004-01-06,,NYK,W,107,96,,39,82,.476,2,9,.222,37,73,.507,.488,27,31,.871,10,32,42,25,6,6,15,18,35,85,.412,8,18,.444,27,67,.403,.459,18,21,.857,14,24,38,26,9,7,16,26
35,35,2004-01-07,@,TOR,L,69,75,,30,84,.357,1,8,.125,29,76,.382,.363,8,12,.667,19,31,50,12,8,2,13,19,30,81,.370,6,20,.300,24,61,.393,.407,9,16,.563,16,31,47,18,8,6,14,15
36,36,2004-01-09,@,BOS,L,82,107,,28,84,.333,6,23,.261,22,61,.361,.369,20,32,.625,17,35,52,13,9,3,22,26,36,78,.462,11,25,.440,25,53,.472,.532,24,32,.750,9,40,49,21,13,6,18,28
37,37,2004-01-12,@,LAL,L,79,89,,29,87,.333,2,14,.143,27,73,.370,.345,19,26,.731,15,39,54,11,8,7,17,27,33,91,.363,1,7,.143,32,84,.381,.368,22,28,.786,18,40,58,15,9,5,13,23
38,38,2004-01-13,@,SEA,W,104,96,,41,89,.461,1,5,.200,40,84,.476,.466,21,23,.913,16,31,47,18,10,6,10,17,35,88,.398,14,37,.378,21,51,.412,.477,12,14,.857,17,30,47,22,3,13,18,18
39,39,2004-01-15,@,GSW,L,102,119,,36,85,.424,3,12,.250,33,73,.452,.441,27,30,.900,17,26,43,18,9,6,11,21,43,82,.524,10,13,.769,33,69,.478,.585,23,32,.719,15,33,48,29,9,6,12,18
40,40,2004-01-17,@,UTA,W,102,96,OT,33,85,.388,3,10,.300,30,75,.400,.406,33,43,.767,17,35,52,15,9,7,16,31,30,74,.405,4,17,.235,26,57,.456,.432,32,41,.780,3,30,33,22,8,10,17,31
41,41,2004-01-20,,SEA,W,99,94,,29,85,.341,3,10,.300,26,75,.347,.359,38,42,.905,24,31,55,15,4,4,11,14,37,89,.416,9,26,.346,28,63,.444,.466,11,16,.688,10,25,35,22,9,3,8,28
42,42,2004-01-22,,SAC,L,89,95,,33,85,.388,6,15,.400,27,70,.386,.424,17,22,.773,13,32,45,20,10,4,10,21,36,80,.450,8,16,.500,28,64,.438,.500,15,26,.577,11,38,49,26,6,5,12,15
43,43,2004-01-24,,PHI,W,95,87,,32,74,.432,6,17,.353,26,57,.456,.473,25,32,.781,12,29,41,24,6,7,9,21,33,70,.471,4,9,.444,29,61,.475,.500,17,23,.739,5,32,37,20,6,4,14,20
44,44,2004-01-26,,ORL,W,99,98,,36,94,.383,5,9,.556,31,85,.365,.410,22,33,.667,16,32,48,23,7,7,6,23,31,69,.449,11,17,.647,20,52,.385,.529,25,34,.735,3,40,43,16,2,7,13,23
45,45,2004-01-28,,MIA,W,94,93,,37,78,.474,1,7,.143,36,71,.507,.481,19,25,.760,11,25,36,24,5,8,11,19,37,76,.487,7,10,.700,30,66,.455,.533,12,20,.600,8,25,33,23,6,3,12,20
46,46,2004-01-30,@,MIL,L,95,101,,36,91,.396,3,15,.200,33,76,.434,.412,20,28,.714,19,33,52,22,8,6,14,24,40,85,.471,5,8,.625,35,77,.455,.500,16,23,.696,9,34,43,28,4,4,10,19
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
47,47,2004-02-01,@,WAS,W,104,100,,38,74,.514,2,8,.250,36,66,.545,.527,26,30,.867,9,35,44,23,6,9,24,22,37,86,.430,5,15,.333,32,71,.451,.459,21,29,.724,9,24,33,20,15,4,13,23
48,48,2004-02-03,@,DET,W,85,82,,35,84,.417,1,4,.250,34,80,.425,.423,14,20,.700,14,31,45,21,7,7,9,24,33,86,.384,3,9,.333,30,77,.390,.401,13,23,.565,15,34,49,17,3,9,14,18
49,49,2004-02-04,,LAL,L,106,111,OT,39,96,.406,6,11,.545,33,85,.388,.438,22,29,.759,13,34,47,23,5,4,6,32,41,79,.519,3,11,.273,38,68,.559,.538,26,42,.619,10,41,51,24,2,7,9,22
50,50,2004-02-06,@,MIN,L,92,103,,35,74,.473,2,5,.400,33,69,.478,.486,20,29,.690,9,27,36,23,5,5,13,21,41,84,.488,3,5,.600,38,79,.481,.506,18,22,.818,13,23,36,28,7,4,9,21
51,51,2004-02-07,,WAS,L,88,106,,37,89,.416,3,6,.500,34,83,.410,.433,11,18,.611,15,24,39,23,8,8,9,26,38,79,.481,7,14,.500,31,65,.477,.525,23,33,.697,15,39,54,22,6,5,16,15
52,52,2004-02-09,,BOS,W,97,89,,34,86,.395,4,13,.308,30,73,.411,.419,25,30,.833,17,37,54,21,7,6,14,21,33,82,.402,4,14,.286,29,68,.426,.427,19,23,.826,10,32,42,18,6,5,14,21
53,53,2004-02-11,,NJN,L,85,105,,35,92,.380,2,11,.182,33,81,.407,.391,13,18,.722,21,32,53,23,7,7,19,19,41,85,.482,7,17,.412,34,68,.500,.524,16,23,.696,11,35,46,28,10,4,14,19
54,54,2004-02-18,,DAL,L,98,114,,39,84,.464,2,9,.222,37,75,.493,.476,18,21,.857,9,31,40,26,2,8,12,16,45,95,.474,4,14,.286,41,81,.506,.495,20,22,.909,18,35,53,26,9,8,8,17
55,55,2004-02-20,,SAS,W,89,87,,37,84,.440,1,7,.143,36,77,.468,.446,14,20,.700,11,39,50,18,6,7,18,22,35,91,.385,3,14,.214,32,77,.416,.401,14,19,.737,11,33,44,17,10,8,12,17
56,56,2004-02-22,@,NYK,W,92,86,,31,82,.378,3,7,.429,28,75,.373,.396,27,35,.771,13,39,52,9,2,5,8,16,37,96,.385,2,12,.167,35,84,.417,.396,10,17,.588,18,35,53,14,4,4,7,26
57,57,2004-02-23,,NOH,W,104,100,,39,83,.470,9,17,.529,30,66,.455,.524,17,23,.739,8,24,32,29,13,10,9,21,36,78,.462,9,22,.409,27,56,.482,.519,19,24,.792,12,34,46,16,7,4,17,19
58,58,2004-02-25,@,HOU,L,84,90,,35,88,.398,5,9,.556,30,79,.380,.426,9,15,.600,16,36,52,21,6,9,13,17,35,83,.422,5,15,.333,30,68,.441,.452,15,22,.682,12,36,48,19,8,7,10,16
59,59,2004-02-27,@,ORL,W,112,107,OT,40,83,.482,3,7,.429,37,76,.487,.500,29,36,.806,15,35,50,22,9,6,21,21,42,91,.462,3,15,.200,39,76,.513,.478,20,26,.769,11,28,39,20,12,1,16,29
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
60,60,2004-03-01,@,CHI,L,81,92,,30,83,.361,1,12,.083,29,71,.408,.367,20,26,.769,21,29,50,17,9,5,16,19,31,82,.378,7,19,.368,24,63,.381,.421,23,29,.793,22,28,50,22,6,7,16,19
61,61,2004-03-03,,ATL,W,112,80,,41,95,.432,3,12,.250,38,83,.458,.447,27,31,.871,19,43,62,31,11,7,12,23,28,82,.341,7,13,.538,21,69,.304,.384,17,24,.708,8,28,36,18,5,5,14,23
62,62,2004-03-05,@,NOH,W,88,85,,37,89,.416,3,12,.250,34,77,.442,.433,11,21,.524,19,30,49,21,7,10,14,18,32,84,.381,5,20,.250,27,64,.422,.411,16,19,.842,15,30,45,20,9,6,16,19
63,63,2004-03-06,,MIL,W,106,97,,44,89,.494,1,9,.111,43,80,.538,.500,17,20,.850,8,33,41,29,9,8,12,23,36,79,.456,2,11,.182,34,68,.500,.468,23,28,.821,7,32,39,23,7,6,20,22
64,64,2004-03-08,@,ATL,W,108,102,,37,74,.500,1,8,.125,36,66,.545,.507,33,45,.733,11,28,39,21,10,7,16,26,35,85,.412,5,12,.417,30,73,.411,.441,27,31,.871,12,29,41,19,8,0,16,32
65,65,2004-03-10,@,TOR,W,106,92,,42,81,.519,3,6,.500,39,75,.520,.537,19,22,.864,11,37,48,26,5,2,10,18,36,85,.424,3,13,.231,33,72,.458,.441,17,20,.850,11,27,38,20,5,6,6,15
66,66,2004-03-14,,IND,W,107,104,,42,77,.545,4,8,.500,38,69,.551,.571,19,23,.826,11,21,32,30,8,7,15,21,43,77,.558,5,11,.455,38,66,.576,.591,13,19,.684,13,21,34,22,7,2,17,26
67,67,2004-03-16,,CHI,W,111,87,,42,93,.452,8,13,.615,34,80,.425,.495,19,29,.655,23,34,57,29,13,13,21,15,36,91,.396,3,12,.250,33,79,.418,.412,12,19,.632,16,27,43,22,9,12,20,17
68,68,2004-03-19,,UTA,L,88,97,,31,75,.413,0,4,.000,31,71,.437,.413,26,34,.765,12,22,34,19,8,8,11,28,37,73,.507,0,2,.000,37,71,.521,.507,23,30,.767,14,21,35,28,5,6,14,23
69,69,2004-03-21,,DET,L,76,96,,29,76,.382,3,13,.231,26,63,.413,.401,15,20,.750,12,33,45,23,3,7,14,20,36,79,.456,4,15,.267,32,64,.500,.481,20,22,.909,8,30,38,25,9,5,7,24
70,70,2004-03-23,,PHO,L,86,103,,27,86,.314,3,11,.273,24,75,.320,.331,29,32,.906,22,20,42,18,6,5,18,14,45,79,.570,4,11,.364,41,68,.603,.595,9,18,.500,10,31,41,25,10,3,17,25
71,71,2004-03-26,@,PHI,L,71,86,,27,69,.391,3,6,.500,24,63,.381,.413,14,20,.700,11,21,32,18,4,8,12,16,33,73,.452,7,13,.538,26,60,.433,.500,13,18,.722,14,27,41,21,7,3,12,16
72,72,2004-03-27,,NJN,W,107,104,,43,80,.538,2,3,.667,41,77,.532,.550,19,24,.792,11,28,39,25,5,4,14,19,40,83,.482,10,18,.556,30,65,.462,.542,14,19,.737,9,25,34,27,8,1,12,23
73,73,2004-03-29,@,SAS,L,93,101,,37,78,.474,3,4,.750,34,74,.459,.494,16,17,.941,10,23,33,23,7,3,18,19,44,86,.512,4,11,.364,40,75,.533,.535,9,14,.643,17,28,45,20,5,6,15,18
74,74,2004-03-30,@,DAL,L,109,126,,44,90,.489,0,5,.000,44,85,.518,.489,21,32,.656,17,27,44,25,7,2,16,26,49,90,.544,6,10,.600,43,80,.538,.578,22,30,.733,17,29,46,23,12,6,13,23
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
75,75,2004-04-02,@,MIL,L,89,107,,39,76,.513,2,6,.333,37,70,.529,.526,9,13,.692,7,32,39,26,9,3,20,25,38,80,.475,6,13,.462,32,67,.478,.513,25,32,.781,10,27,37,23,12,3,12,11
76,76,2004-04-03,,GSW,L,100,103,,34,92,.370,4,11,.364,30,81,.370,.391,28,35,.800,23,24,47,17,7,5,10,24,37,69,.536,4,12,.333,33,57,.579,.565,25,35,.714,7,32,39,23,6,7,14,24
77,77,2004-04-06,,TOR,L,86,87,,35,88,.398,1,3,.333,34,85,.400,.403,15,19,.789,16,32,48,20,13,7,13,17,34,83,.410,6,20,.300,28,63,.444,.446,13,17,.765,8,37,45,18,7,13,16,19
78,78,2004-04-07,@,MEM,L,74,92,,29,72,.403,1,3,.333,28,69,.406,.410,15,21,.714,10,31,41,17,6,7,19,30,30,75,.400,7,13,.538,23,62,.371,.447,25,35,.714,16,33,49,25,11,2,16,18
79,79,2004-04-09,@,MIA,L,91,106,,36,73,.493,3,6,.500,33,67,.493,.514,16,22,.727,8,28,36,16,7,9,18,28,35,73,.479,7,12,.583,28,61,.459,.527,29,36,.806,8,29,37,21,8,1,11,13
80,80,2004-04-10,,MIA,W,91,80,,38,86,.442,5,11,.455,33,75,.440,.471,10,16,.625,12,39,51,29,3,7,11,23,26,79,.329,4,14,.286,22,65,.338,.354,24,34,.706,14,30,44,13,4,4,8,13
81,81,2004-04-12,,MIL,W,93,89,,37,80,.463,1,9,.111,36,71,.507,.469,18,22,.818,8,31,39,30,8,9,9,21,33,85,.388,3,8,.375,30,77,.390,.406,20,24,.833,16,31,47,23,5,5,12,19
82,82,2004-04-14,@,NYK,W,100,90,,39,80,.488,4,11,.364,35,69,.507,.513,18,20,.900,12,28,40,22,12,7,13,12,38,79,.481,4,10,.400,34,69,.493,.506,10,14,.714,12,30,42,13,7,2,18,16
,,,,,35-47,7619,7834,,2922,6753,.433,247,786,.314,2675,5967,.448,.451,1528,2030,.753,1118,2619,3737,1808,585,537,1216,1743,2956,6759,.437,431,1162,.371,2525,5597,.451,.469,1491,1990,.749,971,2475,3446,1783,635,434,1071,1656
