"Player","Team(s)","GP","Win%"
"Joffrey Lauvergne","Bulls",11,"36.4%"
"Ante Zizic","Cavaliers",11,"54.5%"
"Penny Hardaway","Heat",10,"30.0%"
"Ryan Anderson","Heat",10,"40.0%"
"Luther Head","Heat",9,"44.4%"
"Zoran Dragic","Heat",9,"33.3%"
"Cameron Payne","Bulls",8,"37.5%"
"Eddy Curry","Heat",8,"100.0%"
"Anthony Morrow","Bulls",7,"28.6%"
"Bimbo Coles","Heat",7,"28.6%"
"Robert Hite","Heat",6,"16.7%"
"Josh Harrellson","Heat",6,"50.0%"
"Jerry Stackhouse","Heat",6,"83.3%"
"Jarvis Varnado","Heat",6,"100.0%"
"Tyrone Hill","Heat",5,"0.0%"
"Mickell Gladness","Heat",5,"80.0%"
"Smush Parker","Heat",4,"0.0%"
"Jordan Mickey","Heat",4,"75.0%"
"Shaun Livingston","Heat",4,"50.0%"
"John Holland","Cavaliers",4,"100.0%"
"Jarnell Stokes","Heat",4,"25.0%"
"Qyntel Woods","Heat",3,"33.3%"
"Briante Weber","Heat",3,"66.7%"
"Andre Dawkins","Heat",3,"33.3%"
"Jerome Beasley","Heat",2,"0.0%"
"Yante Maten","Heat",2,"50.0%"
"Shavlik Randolph","Heat",2,"0.0%"
"Matt Walsh","Heat",2,"100.0%"
"R.J. Hunter","Bulls",2,"100.0%"
"Shannon Brown","Heat",1,"100.0%"
"Emanuel Terry","Heat",1,"0.0%"
